"ID","Title","StatisticalMeasurementUnitID","CustomsTariffEnglishCalculationReference","PurchaseTaxOptionalTaxAddition","EnglishGoodsDescription","PurchaseTaxCalculationReference","CustomsTariffCalculationReference","StatisticalMeasurementUnitName","CustomsItemID","GoodsDescription","EnglishFullTitle","PurchaseTaxEnglishCalculationReference","FullTitle","StatisticalMeasurementUnitEnglishName","FullClassification"
"369","אביזרי אפייה","","","","-:--OTHER","","","","4887","אחרים:-
"," =>  => ","","לבית, לגן ולמשרד => כלי אוכל, אפייה ובישול => אביזרי אפייה","","7323990000"
"370","כלי אוכל","","","","-:--OTHER","","","","4887","אחרים:-
"," =>  => ","","לבית, לגן ולמשרד => כלי אוכל, אפייה ובישול => כלי אוכל","","7323990000"
"133","אביזרים לסיגריות אלקטרוניות","1","Tax Free","","----OTHERS","פטור","פטור","כל אחד","5129","אחרים","Electronic Cigarette Accessories","Tax Free","אביזרים לסיגריות אלקטרוניות","Each","8543909900/4"
"350","שלט רחוק אלחוטי","1","Tax Free","","----OTHERS","פטור","פטור","כל אחד","5129","אחרים"," =>  => Wireless remote control","Tax Free","כלי רכב ואביזרים => חלפים וציוד היקפי => שלט רחוק אלחוטי","Each","8543909900/4"
"217","מחשבון","1","Tax Free","","-ELECTRONIC CALCULATORS CAPABLE OF OPERATION WITHOUT AN EXTERNAL SOURCE OF ELECTRIC POWER AND POCET-SIZE DATA RECORDING, REPRODUCING AND DISPLAYING MACHINES WITH CACULATING FUNCTIONS","פטור","פטור","כל אחד","5281","מכונות חישוב אלקטרוניות המסוגלות לפעול בלי אספקת כוח חשמלית
חיצונית ומכונות במידת כיס לקליטה, להפקה או לתצוגה של נתונים בעלות
פונקציות חישוב"," =>  => calculator","Tax Free","חשמל ואלקטרוניקה => מחשבים, מדפסות וציוד תקשורת => מחשבון","Each","8470100000/6"
"194","אל פסק ומייצבי מתח","1","","","-----OTHERS","פטור","פטור","כל אחד","5306","אחרים","","Tax Free","אל פסק ומייצבי מתח","Each","8504407900/3"
"113","מוצרים להסרת שיער","6","","","---OTHERS","פטור","פטור","קילוגרם","5440","אחרים"," =>  => ","Tax Free","אופנה וטיפוח => תכשירי טיפוח וקוסמטיקה => מוצרים להסרת שיער","Kilogram","3307909000/8"
"591","תמרוקים","6","","","---OTHERS","פטור","פטור","קילוגרם","5440","אחרים"," =>  => cosmetics","Tax Free","אופנה וטיפוח => תכשירי טיפוח וקוסמטיקה => תמרוקים","Kilogram","3307909000/8"
"561","נורות פלורוסצנטיות","1","","","-:--FLUORESCENT, HOT CATHODE","פטור","פטור","כל אחד","5478","פלואורסצנטיות, קתודה חמה"," =>  => fluorescent","Tax Free","לבית, לגן ולמשרד => תאורה ואביזרים => נורות פלורוסצנטיות","Each","8539310000/4"
"93","מכנסיים","1","","","--OF COTTON","פטור","פטור","כל אחד","5497","מכותנה"," =>  => Pants","Tax Free","אופנה וטיפוח => הלבשה והנעלה => מכנסיים","Each","6203420000/6"
